"","X","State","State_name","County","County_name","Tract","Block_Group","Tot_Population_ACS_08_12","Males_ACS_08_12","Females_ACS_08_12","Pop_25yrs_Over_ACS_08_12","Not_HS_Grad_ACS_08_12","College_ACS_08_12","Prs_Blw_Pov_Lev_ACS_08_12"
"183",471,31,"Nebraska",55,"Douglas County",6102,5,496,286,210,346,142,0,169
"184",472,31,"Nebraska",55,"Douglas County",6202,1,823,334,489,590,90,162,66
"185",473,31,"Nebraska",55,"Douglas County",6202,2,893,511,382,649,114,54,111
"186",474,31,"Nebraska",55,"Douglas County",6202,3,666,353,313,499,41,111,107
"187",475,31,"Nebraska",55,"Douglas County",6202,4,1254,622,632,638,79,74,107
"188",476,31,"Nebraska",55,"Douglas County",6202,5,910,373,537,489,90,76,342
"189",477,31,"Nebraska",55,"Douglas County",6301,1,1241,664,577,750,51,173,114
"190",478,31,"Nebraska",55,"Douglas County",6301,2,229,122,107,89,40,7,0
"191",479,31,"Nebraska",55,"Douglas County",6301,3,1114,444,670,688,91,136,308
"192",480,31,"Nebraska",55,"Douglas County",6302,1,1239,478,761,666,145,56,476
"193",481,31,"Nebraska",55,"Douglas County",6302,2,915,513,402,638,55,108,14
"194",482,31,"Nebraska",55,"Douglas County",6302,3,1254,624,630,800,51,56,130
"195",483,31,"Nebraska",55,"Douglas County",6302,4,1100,544,556,683,158,86,381
"196",484,31,"Nebraska",55,"Douglas County",6303,1,1139,441,698,576,72,160,401
"197",485,31,"Nebraska",55,"Douglas County",6303,2,1818,796,1022,1048,125,54,392
"198",486,31,"Nebraska",55,"Douglas County",6400,1,628,388,240,401,0,59,68
"199",487,31,"Nebraska",55,"Douglas County",6400,2,589,307,282,391,92,17,80
"200",488,31,"Nebraska",55,"Douglas County",6400,3,679,363,316,514,27,220,88
"201",489,31,"Nebraska",55,"Douglas County",6400,4,672,267,405,509,0,309,127
"202",490,31,"Nebraska",55,"Douglas County",6400,5,501,236,265,359,0,259,0
"203",491,31,"Nebraska",55,"Douglas County",6400,6,1066,530,536,636,0,223,255
"204",492,31,"Nebraska",55,"Douglas County",6400,7,726,315,411,436,115,61,223
"205",493,31,"Nebraska",55,"Douglas County",6503,1,708,326,382,516,0,122,0
"206",494,31,"Nebraska",55,"Douglas County",6503,2,987,462,525,736,7,220,61
"207",495,31,"Nebraska",55,"Douglas County",6503,3,1004,491,513,650,9,213,13
"208",496,31,"Nebraska",55,"Douglas County",6504,1,828,399,429,571,47,182,21
"209",497,31,"Nebraska",55,"Douglas County",6504,2,251,23,228,251,24,21,21
"210",498,31,"Nebraska",55,"Douglas County",6504,3,983,447,536,710,54,150,93
